time,power_norm
3876,2917245.9957
3877,3039234.36691
3878,3011447.92018
3879,2591602.74171
3880,2595475.96345
3881,2166584.67234
3882,1429061.45183
3883,37939.511763
3884,0.0
3885,0.0
3886,0.0
3887,0.0
3888,0.0
3889,0.0
3890,0.0
3891,0.0
3892,0.0
3893,116143.16109
3894,1471990.01335
3895,330933.189428
3896,2064561.94138
3897,2666574.53605
3898,2901384.22401
3899,2252810.91345
3900,3465328.56515
3901,2905015.49548
3902,1375542.38973
3903,1379188.66055
3904,1465551.21174
3905,1572748.38122
3906,192877.844751
3907,16259.7907556
3908,0.0
3909,0.0
3910,0.0
3911,0.0
3912,0.0
3913,0.0
3914,0.0
3915,0.0
3916,0.0
3917,991339.032679
3918,2468522.49033
3919,3126689.35926
3920,3499515.38187
3921,3641287.90484
3922,3440445.66339
3923,2383550.42607
3924,1346767.66626
3925,2176630.87377
3926,1330035.8611
3927,3425892.18611
3928,2705735.24548
3929,2210241.07643
3930,106353.204115
3931,9073.68446014
3932,0.0
3933,0.0
3934,0.0
3935,0.0
3936,0.0
3937,0.0
3938,0.0
3939,0.0
3940,0.0
3941,174718.041535
3942,382413.224654
3943,2135553.98556
3944,688130.990156
3945,1344445.5586
3946,1942760.38994
3947,3473003.19222
3948,2445645.61372
3949,2755279.74042
3950,2479670.63418
3951,2470239.28224
3952,1736150.43604
3953,1441564.9306
3954,892145.869578
3955,63243.3326734
3956,0.0
3957,0.0
3958,0.0
3959,0.0
3960,0.0
3961,0.0
3962,0.0
3963,0.0
3964,0.0
3965,1206251.30549
3966,1713718.90638
3967,2122602.69409
3968,2013528.64574
3969,3071479.09182
3970,2699845.42044
3971,2571035.42883
3972,2675363.38706
3973,2634026.2463
3974,2319138.20007
3975,1647615.5926
3976,1798414.7713
3977,1137800.91178
3978,191504.202232
3979,18106.9015466
3980,0.0
3981,0.0
3982,0.0
3983,0.0
3984,0.0
3985,0.0
3986,0.0
3987,0.0
3988,0.0
3989,45773.0960378
3990,343600.420733
3991,1288236.80904
3992,2496123.20589
3993,1967175.15151
3994,2432588.57394
3995,2996974.03726
3996,3590365.70775
3997,2834446.68733
3998,3496092.24839
3999,2612545.02187
4000,2326205.97509
4001,1809703.50939
4002,317934.244057
4003,25632.9337811
4004,0.0
4005,0.0
4006,0.0
4007,0.0
4008,0.0
4009,0.0
4010,0.0
4011,0.0
4012,0.0
4013,136611.558711
4014,304917.164509
4015,250656.711293
4016,561076.330605
4017,1042001.20572
4018,1274665.90587
4019,1031598.99458
4020,1541592.51515
4021,1739446.65331
4022,990657.772002
4023,1328407.67268
4024,1002952.91945
4025,673005.140996
4026,190972.281087
4027,18228.3036677
4028,0.0
4029,0.0
4030,0.0
4031,0.0
4032,0.0
4033,0.0
4034,0.0
4035,0.0
4036,0.0
4037,475421.860944
4038,1390465.85194
4039,2627273.25232
4040,2677271.83572
4041,2839770.27267
4042,2922640.98159
4043,1613284.4587
4044,483837.997856
4045,2196991.42815
4046,1617681.16383
4047,1102036.42078
4048,704066.320618
4049,1098407.97351
4050,238009.939753
4051,23802.0099396
4052,0.0
4053,0.0
4054,0.0
4055,0.0
4056,0.0
4057,0.0
4058,0.0
4059,0.0
4060,0.0
4061,152126.74979
4062,159547.566853
4063,399430.848756
4064,683153.954554
4065,915522.204332
4066,1452155.94779
4067,1626367.30916
4068,1540748.43891
4069,1823352.28598
4070,1073492.0735
4071,658722.533541
4072,646984.993993
4073,275247.385382
4074,138842.659915
4075,12816.4668906
4076,0.0
4077,0.0
4078,0.0
4079,0.0
4080,0.0
4081,0.0
4082,0.0
4083,0.0
4084,0.0
4085,1113879.88496
4086,276459.608043
4087,865891.296792
4088,1127520.0293
4089,3703086.20073
4090,3853354.98947
4091,1895022.91719
4092,2590240.56044
4093,2519915.43391
4094,3204982.76311
4095,3531058.95568
4096,3208852.75082
4097,2672594.15664
4098,1714710.18621
4099,255290.515896
4100,0.0
4101,0.0
4102,0.0
4103,0.0
4104,0.0
4105,0.0
4106,0.0
4107,0.0
4108,0.0
4109,41925.0984357
4110,324463.805285
4111,970224.908276
4112,1929419.47913
4113,2618219.24414
4114,2609125.5474
4115,2989157.14329
4116,3338227.32469
4117,2570098.15534
4118,2543676.151
4119,1324747.66539
4120,1617405.82887
4121,1644460.45142
4122,803370.746632
4123,34787.5529887
4124,0.0
4125,0.0
4126,0.0
4127,0.0
4128,0.0
4129,0.0
4130,0.0
4131,0.0
4132,0.0
4133,639885.108627
4134,1958678.92587
4135,2424545.08385
4136,2020916.57139
4137,1994738.47577
4138,1967665.4186
4139,2475735.92109
4140,2307095.08822
4141,2731855.45955
4142,2984101.38002
4143,2171697.43557
4144,1914527.92831
4145,1368997.50821
4146,495634.234693
4147,21485.4776136
4148,0.0
4149,0.0
4150,0.0
4151,0.0
4152,0.0
4153,0.0
4154,0.0
4155,0.0
4156,0.0
4157,77238.7272826
4158,601669.847383
4159,3343377.61751
4160,3749212.62433
4161,3988451.49554
4162,4098314.56476
4163,4123010.15304
4164,4094883.9158
4165,4012242.24082
4166,3889575.82843
4167,3692762.24146
4168,2893929.70799
4169,2170356.84068
4170,2028562.67876
4171,396707.501564
4172,0.0
4173,0.0
4174,0.0
4175,0.0
4176,0.0
4177,0.0
4178,0.0
4179,0.0
4180,0.0
4181,146241.444741
4182,822865.198231
4183,2192959.9481
4184,792005.350576
4185,597495.347657
4186,571454.249667
4187,907651.948343
4188,1117323.67994
4189,1151837.53645
4190,2875363.94335
4191,2574653.99139
4192,2078146.22825
4193,1976193.74675
4194,1214009.47211
4195,127716.180903
4196,0.0
4197,0.0
4198,0.0
4199,0.0
4200,0.0
4201,0.0
4202,0.0
4203,0.0
4204,0.0
4205,52979.43602
4206,214138.953259
4207,487914.238783
4208,2380540.19219
4209,1937435.69782
4210,1492538.65054
4211,3384479.35337
4212,2924841.14281
4213,3279485.66368
4214,1466013.14907
4215,1148833.08012
4216,1464772.82059
4217,1284324.32736
4218,1131147.32724
4219,97448.6699322
4220,0.0
4221,0.0
4222,0.0
4223,0.0
4224,0.0
4225,0.0
4226,0.0
4227,0.0
4228,0.0
4229,46380.1066434
4230,262864.369028
4231,178384.679676
4232,300271.510008
4233,552461.615599
4234,1071495.30725
4235,1004975.04333
4236,758731.670149
4237,1108405.45154
4238,1483811.86704
4239,886314.114867
4240,580050.528725
4241,387043.451261
4242,1472955.80165
4243,207970.01038
4244,0.0
4245,0.0
4246,0.0
4247,0.0
4248,0.0
4249,0.0
4250,0.0
4251,0.0
4252,0.0
4253,1283660.79403
4254,2548093.96179
4255,3257754.27629
4256,3686292.08516
4257,3956185.6844
4258,4101598.65945
4259,4156098.89772
4260,4118614.49775
4261,4056318.61235
4262,3930806.77752
4263,3739062.53407
4264,3427522.95491
4265,2443536.32961
4266,1993460.9038
4267,374583.542722
4268,0.0
4269,0.0
4270,0.0
4271,0.0
4272,0.0
4273,0.0
4274,0.0
4275,0.0
4276,0.0
4277,1241549.95758
4278,2510849.77527
4279,3174675.6436
4280,3554198.23706
4281,3499907.04544
4282,3068240.99148
4283,2678916.11085
4284,1580510.63408
4285,2155292.51597
4286,1998126.48569
4287,1336211.89783
4288,2003870.10204
4289,1244872.16069
4290,341750.369939
4291,24012.4402829
4292,0.0
4293,0.0
4294,0.0
4295,0.0
4296,0.0
4297,0.0
4298,0.0
4299,0.0
4300,0.0
4301,342363.743209
4302,275219.507858
4303,429398.420057
4304,596405.336472
4305,1201703.46223
4306,1374259.89603
4307,2743984.9065
4308,3672883.40912
4309,3256732.89761
4310,2822635.05063
4311,2694650.81103
4312,2935488.00124
4313,2257188.8912
4314,1214050.55112
4315,132782.157798
4316,0.0
4317,0.0
4318,0.0
4319,0.0
4320,0.0
4321,0.0
4322,0.0
4323,0.0
4324,0.0
4325,72352.9663637
4326,304105.568848
4327,2025237.57506
4328,2508068.5742
4329,2810324.09383
4330,2886421.40235
4331,3062441.00354
4332,3418985.61221
4333,2967192.64582
4334,3107254.45638
4335,2781636.40208
4336,2316614.90275
4337,1786520.31604
4338,813402.324165
4339,83183.1163852
4340,0.0
4341,0.0
4342,0.0
4343,0.0
4344,0.0
4345,0.0
4346,0.0
4347,0.0
4348,0.0
4349,142300.857518
4350,695446.035436
4351,952014.607434
4352,1926079.53479
4353,2419852.56943
4354,1579154.94867
4355,2191531.45747
4356,2424094.20763
4357,2969041.22563
4358,2856857.15207
4359,2530873.70596
4360,1375620.58306
4361,698371.760177
4362,172487.234415
4363,21184.0165791
4364,0.0
4365,0.0
4366,0.0
4367,0.0
4368,0.0
4369,0.0
4370,0.0
4371,0.0
4372,0.0
4373,359251.664732
4374,480314.662436
4375,1919375.23363
4376,2331905.07954
4377,3206580.96254
4378,3286857.05354
4379,3410187.2031
4380,3648946.67797
4381,3320710.56017
4382,3071986.93579
4383,2556795.89928
4384,2014121.03248
4385,2085549.24139
4386,1016658.0604
4387,33320.8355106
4388,0.0
4389,0.0
4390,0.0
4391,0.0
4392,0.0
4393,0.0
4394,0.0
4395,0.0
4396,0.0
4397,102926.516837
4398,596344.45912
4399,1766449.86626
4400,1559324.72078
4401,2762357.92023
4402,2110114.59024
4403,1926093.68367
4404,1187630.91946
4405,1829821.83383
4406,1717773.24197
4407,2506066.25706
4408,2692910.22237
4409,2069538.59795
4410,1112693.27495
4411,134877.813792
4412,0.0
4413,0.0
4414,0.0
4415,0.0
4416,0.0
4417,0.0
4418,0.0
4419,0.0
4420,0.0
4421,715544.917484
4422,1799599.77036
4423,2573688.31635
4424,3060440.76765
4425,3231610.27908
4426,3472172.59938
4427,2832896.48377
4428,2619692.2504
4429,2240504.52589
4430,2919618.21352
4431,3077286.24904
4432,2625281.62981
