Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,890408,-,-,-,40.13,-88.22,-6,223,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,Dew Point,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,2,12,30,88,894,-11,0.866,2.7,49.09,-2,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,2,13,0,86,881,-10,0.866,2.9,53.04,-2,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,2,13,30,82,861,-10,0.866,3,49.29,-1,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,2,14,0,77,827,-9,0.866,3.1,52.73,-1,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,2,14,30,70,780,-9,0.866,3,52.74,-1,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,2,15,0,61,707,-9,0.866,3,58.51,-2,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,2,15,30,49,603,-9,0.866,2.5,63.01,-3,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,2,16,0,32,425,-8,0.866,2,70.71,-4,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,2,16,30,0,0,-8,0.866,2,70.72,-4,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,1,2,17,0,0,0,-8,0.866,2.1,74.73,-5,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
